Tanggal,Customer,Produk,Sales,Qty,Harga,Target
2026-07-01,Budi Utomo,Monitor Dell UltraSharp,Andi,2,5500000,28000000
2026-07-01,Siti Aminah,Keyboard Keychron K2,Budi,4,1500000,10000000
2026-07-02,PT Makmur Sejahtera,Laptop ASUS ROG,Andi,1,18500000,28000000
2026-07-02,CV Maju Bersama,Mouse Logitech G502,Citra,12,1200000,65000000
2026-07-03,Siti Aminah,Laptop ASUS ROG,Budi,1,18500000,10000000
2026-07-04,CV Maju Bersama,Monitor Dell UltraSharp,Citra,4,5500000,65000000
2026-07-05,Budi Utomo,Mouse Logitech G502,Andi,5,1200000,28000000
2026-07-05,Siti Aminah,Monitor Dell UltraSharp,Budi,1,5500000,10000000
2026-07-06,PT Makmur Sejahtera,Keyboard Keychron K2,Citra,6,1500000,65000000
2026-07-06,PT Makmur Sejahtera,Laptop ASUS ROG,Andi,1,18500000,28000000
2026-07-07,CV Maju Bersama,Laptop ASUS ROG,Citra,2,18500000,65000000
