Tanggal,Customer,Produk,Sales,Qty,Harga,Target
2026-06-01,Budi Utomo,Laptop ASUS ROG,Andi,1,18500000,25000000
2026-06-01,Siti Aminah,Mouse Logitech G502,Budi,3,1200000,8000000
2026-06-02,Budi Utomo,Keyboard Keychron K2,Andi,2,1500000,25000000
2026-06-02,CV Maju Bersama,Laptop ASUS ROG,Citra,3,18500000,60000000
2026-06-03,Siti Aminah,Monitor Dell UltraSharp,Budi,1,5500000,8000000
2026-06-03,CV Maju Bersama,Mouse Logitech G502,Citra,8,1200000,60000000
2026-06-04,PT Makmur Sejahtera,Laptop ASUS ROG,Andi,1,18500000,25000000
2026-06-04,PT Makmur Sejahtera,Monitor Dell UltraSharp,Citra,2,5500000,60000000
2026-06-05,Budi Utomo,Monitor Dell UltraSharp,Andi,1,5500000,25000000
2026-06-05,Siti Aminah,Keyboard Keychron K2,Budi,2,1500000,8000000
2026-06-06,CV Maju Bersama,Keyboard Keychron K2,Citra,4,1500000,60000000
2026-06-06,Siti Aminah,Mouse Logitech G502,Budi,2,1200000,8000000
2026-06-07,PT Makmur Sejahtera,Laptop ASUS ROG,Andi,1,18500000,25000000
