Tanggal,Customer,Produk,Sales,Qty,Harga,Target
2026-06-01,Budi Utomo,Laptop ASUS ROG,Andi,1,18500000,15000000
2026-06-01,Siti Aminah,Mouse Logitech G502,Budi,3,1200000,3000000
2026-06-02,Budi Utomo,Keyboard Keychron K2,Andi,2,1500000,15000000
2026-06-02,CV Maju Bersama,Laptop ASUS ROG,Citra,5,18500000,80000000
2026-06-03,Siti Aminah,Monitor Dell UltraSharp,Budi,1,5500000,3000000
2026-06-03,CV Maju Bersama,Mouse Logitech G502,Citra,10,1200000,80000000
2026-06-04,PT Makmur Sejahtera,Laptop ASUS ROG,Andi,2,18500000,15000000
2026-06-04,PT Makmur Sejahtera,Monitor Dell UltraSharp,Citra,4,5500000,80000000
2026-06-05,Budi Utomo,Monitor Dell UltraSharp,Andi,1,5500000,15000000
2026-06-05,Siti Aminah,Keyboard Keychron K2,Budi,1,1500000,3000000
